dt,cnt
2014-12-14,33756261
2014-12-15,33738405
2014-12-16,33696174
2014-12-17,33652816
2014-12-18,33629643
2014-12-19,33640630
2014-12-20,33692831
2014-12-21,33760369
2014-12-22,33811762
2014-12-23,33861857
2014-12-24,33887522
2014-12-25,34046851
2014-12-26,34144948
2014-12-27,34238117
2014-12-28,34309693
2014-12-29,34415932
2014-12-30,34476129
2014-12-31,34477744
2015-01-01,34524624
2015-01-02,34616575
2015-01-03,34713726
2015-01-04,34817731
2015-01-05,34892224
2015-01-06,34894998
2015-01-07,34881688
2015-01-08,34913232
2015-01-09,34946429
2015-01-10,35020493
2015-01-11,35130634
2015-01-12,35176084
2015-01-13,35171585
2015-01-14,35170899
2015-01-15,35192723
2015-01-16,35202091
2015-01-17,35255717
2015-01-18,35321419
2015-01-19,35381418
2015-01-20,35372243
2015-01-21,35349085
2015-01-22,35308666
2015-01-23,35240109
2015-01-24,35267709
2015-01-25,35272876
2015-01-26,35296022
2015-01-27,35271452
2015-01-28,35196423
2015-01-29,35095111
2015-01-30,35006470
2015-01-31,35025963
2015-02-01,34996501
2015-02-02,34923163
2015-02-03,34878271
2015-02-04,34806167
2015-02-05,34763330
2015-02-06,34748111
2015-02-07,34780109
2015-02-08,34830286
2015-02-09,34807282
2015-02-10,34746926
2015-02-11,34666749
2015-02-12,34623860
2015-02-13,34621753
2015-02-14,34645650
2015-02-15,34670877
2015-02-16,34711654
2015-02-17,34703574
2015-02-18,34651099
2015-02-19,34535959
2015-02-20,34596506
2015-02-21,34646546
2015-02-22,34727460
2015-02-23,34723446
2015-02-24,34711165
2015-02-25,34655473
2015-02-26,34625615
2015-02-27,34575248
2015-02-28,34581358
2015-03-01,34674826
2015-03-02,34687686
2015-03-03,34669912
2015-03-04,34632420
2015-03-05,34600610
2015-03-06,34557532
2015-03-07,34605294
2015-03-08,34650121
2015-03-09,34651413
2015-03-10,34613981
2015-03-11,34545407
2015-03-12,34588666
2015-03-13,34606143
2015-03-14,34664209
2015-03-15,34739124
2015-03-16,34737020
2015-03-17,34685443
2015-03-18,34643895
2015-03-19,34583386
2015-03-20,34542891
2015-03-21,34558519
2015-03-22,34582059
2015-03-23,34544371
2015-03-24,34484913
2015-03-25,34408844
2015-03-26,34308684
2015-03-27,34300453
2015-03-28,34316118
2015-03-29,34346515
2015-03-30,34361521
2015-03-31,34338112
2015-04-01,34277070
2015-04-02,34226330
2015-04-03,34284928
2015-04-04,34306147
2015-04-05,34317683
2015-04-06,34330085
